Method of Travel,Jun 2019,Jun 2020,Jun % change,Jan~Jun 2019, Jan~Jun 2020, Jan~Jun % change
Trips by non-residents,3887483,121524,-96.9,13558157,4198816,-69.0
United States Residents,2998407,101607,-96.6,10478458,3318498,-68.3
Automobile,1893736,91515,-95.2,7017033,2451346,-65.1
Same Day,845491,66120,-92.2,3685241,1477531,-59.9
One or more nights,1048245,25395,-97.6,3331792,973815,-70.8
Plane,685288,8011,-98.8,2505717,730788,-70.8
Bus,114612,624,-99.5,373275,89965,-75.9
"Train, boat and other methods",304771,1457,-99.5,582433,46399,-92.0
All other countries residents,889076,19917,-97.8,3079699,880318,-71.4
Direct,582097,13434,-97.7,2049927,629597,-69.3
Via the United States',306979,6483,-97.9,1029772,250721,-75.7
Trips by residents of Canada',4271769,246682,-94.2,27778346,12602237,-54.6
Returning from the United States,3491187,210824,-94.0,20927619,8912312,-57.4
Automobile,2720577,192529,-92.9,14954718,6132827,-59.0
Same day,1867992,166794,-91.1,10189118,4160466,-59.2
One or more nights,852585,25735,-97.0,4765600,1972361,-58.6
Plane,638538,16163,-97.5,5378993,2601324,-51.6
Bus,67004,134,-99.8,388805,131776,-66.1
"Train, boat and other methods",65068,1998,-96.9,205103,46385,-77.4
Returning from other countries,780582,35858,-95.4,6850727,3689925,-46.1
Direct,734410,33278,-95.5,6357684,3429159,-46.1
Via the United States,46172,2580,-94.4,493043,260766,-47.1
Total3,8159252,368206,-95.5,41336503,16801053,-59.4
