Method of Travel,May 2019,May 2020,May % change,Jan~May 2019, Jan~May 2020, Jan~May % change
Trips by non-residents,2808944,86362,-96.9,9670674,4077292,-57.8
United States Residents,2135005,72078,-96.6,7480051,3216891,-57.0
Automobile,1388131,66684,-95.2,5123297,2359831,-53.9
Same Day,703351,53074,-92.5,2839750,1411411,-50.3
One or more nights,684780,13610,-98.0,2283547,948420,-58.5
Plane,470254,3710,-99.2,1820429,722777,-60.3
Bus,88131,31,-100.0,258663,89341,-65.5
"Train, boat and other methods",188489,1653,-99.1,277662,44942,-83.8
All other countries residents,673939,14284,-97.9,2190623,860401,-60.7
Direct,419043,8266,-98.0,1467830,616163,-58.0
Via the United States',254896,6018,-97.6,722793,244238,-66.2
Trips by residents of Canada3,4714952,195637,-95.9,23506577,12355555,-47.4
Returning from the United States,3743616,169316,-95.5,17436432,8701488,-50.1
Automobile,2786491,156865,-94.4,12234141,5940298,-51.4
Same day,1914019,135460,-92.9,8321126,3993672,-52.0
One or more nights,872472,21405,-97.5,3913015,1946626,-50.3
Plane,805734,9573,-98.8,4740455,2585161,-45.5
Bus,87416,185,-99.8,321801,131642,-59.1
"Train, boat and other methods",63975,2693,-95.8,140035,44387,-68.3
Returning from other countries,971336,26321,-97.3,6070145,3654067,-39.8
Direct,894957,24405,-97.3,5623274,3395881,-39.6
Via the United States,76379,1916,-97.5,446871,258186,-42.2
Total3,7523896,281999,-96.3,33177251,16432847,-50.5
