Method of Travel,Mar 2020,Mar 2021,Mar % change,Jan~Mar 2020, Jan~Mar 2021, Jan~Mar % change
Trips by non-residents,760252,123583,-83.7,3923276,346159,-91.2
United States Residents,610781,95943,-84.3,3093771,257797,-91.7
Automobile,447063,90074,-79.9,2246551,232304,-89.7
Same Day,271629,69414,-74.4,1319504,181216,-86.3
One or more nights,175434,20660,-88.2,927047,51088,-94.5
Plane,138668,4450,-96.8,716250,22028,-96.9
Bus,14099,745,-94.7,89095,1633,-98.2
"Train, boat and other methods",10951,674,-93.8,41875,1832,-95.6
All other countries residents,149471,27640,-81.5,829505,88362,-89.3
Direct,103873,22271,-78.6,597245,72469,-87.9
Via the United States2,45598,5369,-88.2,232260,15893,-93.2
Trips by residents of Canada,3258227,305700,-90.6,11978833,1027078,-91.4
Returning from the United States,2237531,256854,-88.5,8380397,738114,-91.2
Automobile,1499820,234939,-84.3,5645453,608600,-89.2
Same day,804569,200414,-75.1,3752719,521929,-86.1
One or more nights,695251,34525,-95.0,1892734,86671,-95.4
Plane,699131,18870,-97.3,2564619,123717,-95.2
Bus,26193,709,-97.3,130819,1157,-99.1
"Train, boat and other methods",12387,2336,-81.1,39506,4640,-88.3
Returning from other countries,1020696,48846,-95.2,3598436,288964,-92.0
Direct,937516,43884,-95.3,3345413,268003,-92.0
Via the United States,83180,4962,-94.0,253023,20961,-91.7
Total,4018479,429283,-89.3,15902109,1373237,-91.4
