Method of Travel,Apr 2019,Apr 2020,Apr % change,Jan~Apr 2019, Jan~Apr 2020, Jan~Apr % change
Trips by non-residents,2071471,67654,-96.7,6861730,3990930,-41.8
United States Residents,1589192,51042,-96.8,5345046,3144813,-41.2
Automobile,1101722,46596,-95.8,3735166,2293147,-38.6
Same Day,599670,38833,-93.5,2136399,1358337,-36.4
One or more nights,502052,7763,-98.5,1598767,934810,-41.5
Plane,403386,2817,-99.3,1350175,719067,-46.7
Bus,46621,215,-99.5,170532,89310,-47.6
"Train, boat and other methods",37463,1414,-96.2,89173,43289,-51.5
All other countries residents,482279,16612,-96.6,1516684,846117,-44.2
Direct,319152,10652,-96.7,1048787,607897,-42.0
Via the United States4,163127,5960,-96.3,467897,238220,-49.1
Trips by residents of Canada',4983182,181085,-96.4,18791625,12159918,-35.3
Returning from the United States,3816335,151775,-96.0,13692816,8532172,-37.7
Automobile,2731040,137980,-94.9,9447650,5783433,-38.8
Same day,1798662,105493,-94.1,6407107,3858212,-39.8
One or more nights,932378,32487,-96.5,3040543,1925221,-36.7
Plane,985940,10969,-98.9,3934721,2575588,-34.5
Bus,73448,638,-99.1,234385,131457,-43.9
"Train, boat and other methods",25907,2188,-91.6,76060,41694,-45.2
Returning from other countries,1166847,29310,-97.5,5098809,3627746,-28.9
Direct,1088243,26063,-97.6,4728317,3371476,-28.7
Via the United States,78604,3247,-95.9,370492,256270,-30.8
Total',7054653,248739,-96.5,25653355,16150848,-37.0
